id,object_img
486,1044
813,1744
2980,1744
13,1197
2467,532
2526,1588
297,310
2981,1248
2055,2215
45,2551
1462,4000
103,1683
1719,2869
180,2122
1300,4000
359,595
2936,1709
613,2029
2776,715
352,1792
1273,4000
1374,1443
1790,2276
279,2742
1979,2793
2550,2236
2770,2895
656,623
2393,2803
2179,1972
1433,983
30,38
2940,1140
2233,2945
2792,1373
1212,426
1037,777
1661,570
2570,1037
1928,1142
1175,851
2405,2528
1290,1090
2059,340
810,2637
2096,4000
786,4000
1058,1054
2724,1005
247,4000
1231,4000
2890,999
2253,2158
487,1988
1627,2774
1526,2386
1980,2722
999,702
671,3248
2178,2052
1554,502
2113,25
678,2855
522,1222
1180,4000
1033,686
292,1288
2180,2344
457,360
790,2822
946,1473
531,1441
1386,2647
865,2199
238,834
2862,1375
2591,426
2235,991
679,4000
1840,976
2666,1292
1689,4000
2984,2081
2044,661
728,2844
870,969
1303,4000
908,667
1747,1020
2424,190
1652,2590
267,2588
1785,930
730,2726
694,2238
2650,672
425,1927
189,352
1221,1299
1408,2233
70,92
1270,3099
211,2279
2680,825
2882,4000
284,4000
81,2141
1966,1777
1360,988
2296,2410
1211,2379
1812,1054
2649,1474
1707,2560
2111,2083
2285,986
2173,2490
1555,2520
289,385
2888,1160
1613,374
913,4000
2032,217
421,2287
2502,1939
444,85
2951,993
1957,2808
2580,1200
176,245
1564,4000
1090,1486
686,1734
234,1410
1019,259
2918,887
2967,4000
1126,778
204,2498
1989,4000
232,2872
846,1858
1557,531
2440,1130
1848,4000
1160,1998
930,1027
2677,1161
848,2816
2995,1255
77,67
1396,1490
2019,1074
612,2752
1357,188
158,701
1098,3025
1240,734
784,106
1718,1766
2562,140
2047,1678
2452,1547
1588,208
153,1490
818,362
441,1527
599,1577
2658,2748
1351,2327
1905,1311
1903,1217
1883,2979
315,1485
2722,1661
88,2470
2971,2873
446,288
2130,1108
1565,1542
768,2711
760,2552
1757,2537
2630,897
1498,311
2336,445
1089,1833
595,439
1048,2534
273,4000
622,455
509,1662
1371,194
2718,4000
2822,1680
1024,1796
195,2637
1489,2695
1643,4000
171,2355
323,2609
1587,1073
142,4000
512,1418
169,1291
1591,728
1570,327
2406,605
2290,1647
2093,1052
1656,1960
1937,1053
2892,2305
2352,4000
2348,780
1101,1980
602,2129
1114,1104
1074,4000
1503,395
2190,2889
1534,538
109,496
1869,1797
60,2676
481,367
2893,595
465,2340
140,2633
2276,580
933,969
1193,2894
2872,4000
2349,2321
1850,2049
1815,4000
573,1898
2065,1175
354,1219
2530,1091
696,2012
2669,546
1962,2479
2422,4000
94,228
943,1109
135,1590
2417,667
2175,4000
2623,1853
1510,2241
766,726
239,1057
1657,2883
2137,912
463,2300
1615,747
880,744
1740,1584
2534,1552
1035,4000
252,4000
2960,717
2504,1484
912,407
1254,4000
1981,339
795,4000
1463,1505
197,4000
811,455
1629,2475
566,1917
1792,95
53,791
965,2083
652,1571
1375,2370
1972,3325
1150,784
2921,2938
2205,2644
2304,2137
1836,1205
1209,2086
1229,1624
554,4000
2954,1371
820,1118
1481,2975
2172,839
2568,1118
411,1058
627,716
1692,422
1353,35
2625,1691
2719,1013
1358,1130
423,1540
2435,4000
2469,344
1103,2750
2454,1074
2051,1677
808,4000
791,1101
1418,1204
2031,2224
1621,2935
417,2552
1988,4000
2907,1578
2639,1294
1602,1678
193,1134
1546,2702
534,2107
290,2407
2842,2212
257,2322
743,1737
747,619
2922,1270
222,2564
2705,2277
773,2787
600,2059
1205,2341
1753,2271
2470,1262
1111,1959
1676,547
2488,1910
50,917
1377,1105
2403,865
1801,266
1609,2872
556,4000
2223,4000
2702,468
2757,1108
2556,846
1963,4000
1062,1843
1576,436
2046,474
2453,2327
765,822
2933,1590
1638,460
2956,1157
480,4000
2929,2456
74,2655
333,236
52,493
248,4000
2704,1570
2928,146
174,2367
2418,2430
150,2793
499,1754
1581,2452
2595,239
1560,2095
8,898
255,2604
472,4000
2723,1883
2667,1097
1504,3063
416,602
2371,1579
2363,2148
2758,2306
2409,4000
1411,2654
2699,2223
2261,2574
1519,2430
839,931
1054,2793
1733,628
240,4000
757,884
68,4000
366,976
1544,4000
185,1500
2806,2732
843,2954
2212,4000
966,2009
2611,929
857,2923
1799,359
2528,451
228,4000
1136,870
332,3215
2592,328
2708,4000
299,2183
97,611
341,721
1879,1392
1045,4000
651,1132
1091,2712
2772,1429
2226,1646
1826,881
1619,1729
1413,1507
462,9
1584,2227
2814,1542
1414,1675
2886,1022
803,1896
1094,855
2711,848
2315,1506
1567,1615
2437,4000
2942,2644
1715,1260
1476,359
706,729
1214,3240
1473,2258
555,2703
200,2957
1730,2253
565,1750
1873,1696
367,1040
2448,2213
2114,1163
868,4000
812,1291
2009,921
1072,1527
2733,930
1738,474
950,962
1107,1889
1776,9
125,1286
1772,2036
2899,4000
1118,4000
618,161
403,2520
2331,2517
105,1021
1092,635
2635,4000
394,339
2471,2859
2593,865
2664,4000
2516,980
1921,2963
1731,729
2644,1990
1289,1509
1763,119
1341,3
1232,1764
2310,1570
44,2917
264,4000
1274,1566
101,4000
2248,231
167,721
2742,1963
545,1426
1115,2692
163,4000
2786,2600
1128,1661
1559,408
