id,object_img
486,1303
813,1437
2980,1542
13,1303
2467,875
2526,1681
297,-113
2981,1123
2055,2537
45,2592
1462,154
103,1562
1719,2643
180,2965
1300,2016
359,875
2936,1616
613,1796
2776,732
352,1593
1273,1288
1374,1507
1790,2455
279,2800
1979,2814
2550,2059
2770,2790
656,1065
2393,2837
2179,2087
1433,1087
30,41
2940,1013
2233,2845
2792,1309
1212,1083
1037,794
1661,696
2570,969
1928,1110
1175,883
2405,2303
1290,902
2059,192
810,2821
2096,1952
786,1231
1058,1147
2724,934
247,2108
1231,2384
2890,968
2253,2086
487,2365
1627,2794
1526,2458
1980,2795
999,1095
671,2839
2178,2321
1554,862
2113,1606
678,2821
522,1287
1180,824
1033,829
292,220
2180,2705
457,459
790,2473
946,780
531,944
1386,2028
865,2014
238,880
2862,1871
2591,309
2235,927
679,2503
1840,976
2666,1318
1689,1356
2984,2539
2044,789
728,2814
870,615
1303,446
908,787
1747,915
2424,465
1652,2437
267,2528
1785,959
730,2643
694,2130
2650,833
425,1716
189,885
1221,1157
1408,2166
70,176
1270,2129
211,2097
2680,789
2882,2489
284,2419
81,1989
1966,1746
1360,910
2296,2535
1211,2499
1812,1004
2649,1009
1707,2345
2111,2347
2285,1114
2173,2341
1555,2520
289,2013
2888,1179
1613,917
913,2329
2032,815
421,2166
2502,2499
444,187
2951,1037
1957,2831
2580,1165
176,151
1564,985
1090,995
686,2093
234,1071
1019,321
2918,779
2967,2385
1126,823
204,2574
1989,2003
232,2813
846,2144
1557,940
2440,1054
1848,2299
1160,2094
930,847
2677,1322
848,2754
2995,1311
77,152
1396,1124
2019,1094
612,2789
1357,198
158,1040
1098,2794
1240,904
784,203
1718,1937
2562,39
2047,1506
2452,1181
1588,137
153,1075
818,910
441,973
599,959
2658,2861
1351,2421
1905,1206
1903,1196
1883,2849
315,694
2722,1011
88,2864
2971,2791
446,51
2130,1102
1565,803
768,2795
760,2656
1757,2349
2630,805
1498,210
2336,892
1089,2014
595,1412
1048,2387
273,2072
622,843
509,1400
1371,178
2718,1768
2822,1531
1024,1911
195,2617
1489,2789
1643,1216
171,2345
323,2845
1587,884
142,58
512,814
169,944
1591,952
1570,982
2406,722
2290,1248
2093,946
1656,2091
1937,1154
